from,month,monthly_sentiment_score
bobette.riner@ipgdirect.com,2010-01,0
bobette.riner@ipgdirect.com,2010-02,7
bobette.riner@ipgdirect.com,2010-03,8
bobette.riner@ipgdirect.com,2010-04,4
bobette.riner@ipgdirect.com,2010-05,2
bobette.riner@ipgdirect.com,2010-06,2
bobette.riner@ipgdirect.com,2010-07,8
bobette.riner@ipgdirect.com,2010-08,5
bobette.riner@ipgdirect.com,2010-09,8
bobette.riner@ipgdirect.com,2010-10,4
bobette.riner@ipgdirect.com,2010-11,11
bobette.riner@ipgdirect.com,2010-12,3
bobette.riner@ipgdirect.com,2011-01,10
bobette.riner@ipgdirect.com,2011-02,1
bobette.riner@ipgdirect.com,2011-03,6
bobette.riner@ipgdirect.com,2011-04,10
bobette.riner@ipgdirect.com,2011-05,0
bobette.riner@ipgdirect.com,2011-06,4
bobette.riner@ipgdirect.com,2011-07,9
bobette.riner@ipgdirect.com,2011-08,2
bobette.riner@ipgdirect.com,2011-09,9
bobette.riner@ipgdirect.com,2011-10,1
bobette.riner@ipgdirect.com,2011-11,9
bobette.riner@ipgdirect.com,2011-12,2
don.baughman@enron.com,2010-01,6
don.baughman@enron.com,2010-02,8
don.baughman@enron.com,2010-03,0
don.baughman@enron.com,2010-04,8
don.baughman@enron.com,2010-05,13
don.baughman@enron.com,2010-06,12
don.baughman@enron.com,2010-07,3
don.baughman@enron.com,2010-08,2
don.baughman@enron.com,2010-09,1
don.baughman@enron.com,2010-10,1
don.baughman@enron.com,2010-11,3
don.baughman@enron.com,2010-12,9
don.baughman@enron.com,2011-01,4
don.baughman@enron.com,2011-02,2
don.baughman@enron.com,2011-03,3
don.baughman@enron.com,2011-04,4
don.baughman@enron.com,2011-05,10
don.baughman@enron.com,2011-06,2
don.baughman@enron.com,2011-07,4
don.baughman@enron.com,2011-08,9
don.baughman@enron.com,2011-09,9
don.baughman@enron.com,2011-10,7
don.baughman@enron.com,2011-11,4
don.baughman@enron.com,2011-12,5
eric.bass@enron.com,2010-01,7
eric.bass@enron.com,2010-02,4
eric.bass@enron.com,2010-03,2
eric.bass@enron.com,2010-04,2
eric.bass@enron.com,2010-05,5
eric.bass@enron.com,2010-06,0
eric.bass@enron.com,2010-07,10
eric.bass@enron.com,2010-08,1
eric.bass@enron.com,2010-09,6
eric.bass@enron.com,2010-10,7
eric.bass@enron.com,2010-11,4
eric.bass@enron.com,2010-12,1
eric.bass@enron.com,2011-01,5
eric.bass@enron.com,2011-02,1
eric.bass@enron.com,2011-03,5
eric.bass@enron.com,2011-04,8
eric.bass@enron.com,2011-05,7
eric.bass@enron.com,2011-06,13
eric.bass@enron.com,2011-07,4
eric.bass@enron.com,2011-08,4
eric.bass@enron.com,2011-09,6
eric.bass@enron.com,2011-10,6
eric.bass@enron.com,2011-11,0
eric.bass@enron.com,2011-12,8
john.arnold@enron.com,2010-01,4
john.arnold@enron.com,2010-02,7
john.arnold@enron.com,2010-03,9
john.arnold@enron.com,2010-04,8
john.arnold@enron.com,2010-05,7
john.arnold@enron.com,2010-06,8
john.arnold@enron.com,2010-07,4
john.arnold@enron.com,2010-08,7
john.arnold@enron.com,2010-09,7
john.arnold@enron.com,2010-10,5
john.arnold@enron.com,2010-11,7
john.arnold@enron.com,2010-12,11
john.arnold@enron.com,2011-01,3
john.arnold@enron.com,2011-02,14
john.arnold@enron.com,2011-03,7
john.arnold@enron.com,2011-04,1
john.arnold@enron.com,2011-05,5
john.arnold@enron.com,2011-06,6
john.arnold@enron.com,2011-07,5
john.arnold@enron.com,2011-08,9
john.arnold@enron.com,2011-09,0
john.arnold@enron.com,2011-10,8
john.arnold@enron.com,2011-11,7
john.arnold@enron.com,2011-12,3
johnny.palmer@enron.com,2010-01,3
johnny.palmer@enron.com,2010-02,13
johnny.palmer@enron.com,2010-03,5
johnny.palmer@enron.com,2010-04,4
johnny.palmer@enron.com,2010-05,1
johnny.palmer@enron.com,2010-06,9
johnny.palmer@enron.com,2010-07,2
johnny.palmer@enron.com,2010-08,5
johnny.palmer@enron.com,2010-09,6
